Timestamp;N;Repetition;Q1TimeInNanoSec_SingleThreaded;Q2TimeInNanoSec_SingleThreaded;Q3TimeInNanoSec_SingleThreaded;Q1TimeInNanoSec_MultiThreaded;Q2TimeInNanoSec_MultiThreaded;Q3TimeInNanoSec_MultiThreaded;CustomerTableInByte;ItemTableInByte;JoinTableInByte;Q1NumRecordsToProcess;Q1NumRecordToProcessedRefSize;Q1NumRecordToProcessedDeRefSize;Q2NumRecordsToProcess;Q2NumRecordToProcessedRefSize;Q2NumRecordToProcessedDeRefSize;Q3NumRecordsToProcess;Q3NumRecordToProcessedRefSize;Q3NumRecordToProcessedDeRefSize;Q1GBpsecSingleThreaded;Q2GBpsecSingleThreaded;Q3GBpsecSingleThreaded;Q1GBpsecMultiThreaded;Q2GBpsecMultiThreaded;Q3GBpsecMultiThreaded;Type
1486145804;300000;0;835;2093283;283907;531643;2135734;423779;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;2.874252;0.008599;11.834862;0.004514;0.008428;7.928660;ColumnStore
1486145804;300000;0;766;3954307;459086;325532;2438535;620337;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;7.832898;0.004552;18.297224;0.018431;0.007381;13.541026;RowStore
1486145804;300000;1;987;1911140;137402;329861;2416134;312491;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;2.431611;0.009418;24.453791;0.007276;0.007450;10.752310;ColumnStore
1486145804;300000;1;1258;1563771;509750;224888;1346447;782254;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;4.769475;0.011511;16.478666;0.026680;0.013369;10.738200;RowStore
1486145804;300000;2;741;2134226;135012;298835;2113708;352204;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;3.238867;0.008434;24.886677;0.008031;0.008516;9.539926;ColumnStore
1486145805;300000;2;1472;1252378;369068;665086;1617944;660138;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;4.076087;0.014373;22.760033;0.009021;0.011125;12.724612;RowStore
1486145805;300000;3;817;1792479;135458;358510;1967701;330509;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;2.937577;0.010042;24.804735;0.006694;0.009148;10.166138;ColumnStore
1486145805;300000;3;1169;1332283;367130;342828;1696284;519273;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;5.132592;0.013511;22.880177;0.017501;0.010611;16.176462;RowStore
1486145805;300000;4;1197;1853978;135197;263046;2189903;323531;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;2.005013;0.009709;24.852623;0.009124;0.008220;10.385403;ColumnStore
1486145805;300000;4;1844;1285463;337047;547090;1708155;675588;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;3.253796;0.014003;24.922338;0.010967;0.010538;12.433614;RowStore
1486145805;300000;5;1308;1805032;183514;467087;2228209;354124;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;1.834862;0.009972;18.309229;0.005138;0.008078;9.488202;ColumnStore
1486145805;300000;5;1101;1549743;399541;355586;1403644;820516;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;5.449592;0.011615;21.024124;0.016874;0.012824;10.237459;RowStore
1486145806;300000;6;1018;1925124;134405;238754;2198861;340088;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;2.357564;0.009350;24.999071;0.010052;0.008186;9.879795;ColumnStore
1486145806;300000;6;1021;1268949;354089;604882;1719200;730421;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;5.876592;0.014185;23.722849;0.009919;0.010470;11.500216;RowStore
1486145806;300000;7;1362;1708131;136921;577318;2478094;492222;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;1.762115;0.010538;24.539700;0.004157;0.007264;6.826188;ColumnStore
1486145806;300000;7;821;1457819;438951;341344;1747389;759856;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;7.308161;0.012347;19.136532;0.017578;0.010301;11.054726;RowStore
1486145806;300000;8;831;1914304;145302;612645;2546118;276640;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;2.888087;0.009403;23.124252;0.003917;0.007070;12.145749;ColumnStore
1486145806;300000;8;1163;1393946;716697;309636;1455596;723854;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;5.159071;0.012913;11.720433;0.019378;0.012366;11.604549;RowStore
1486145806;300000;9;788;1677661;134734;665009;1994226;359380;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;3.045685;0.010729;24.938026;0.003609;0.009026;9.349435;ColumnStore
1486145807;300000;9;1102;1657309;357213;674028;2047028;751866;33600000;6720000;1200;150;150;8;32;150;8;112;210000;8;32;5.444646;0.010861;23.515381;0.008902;0.008793;11.172203;RowStore
1486145807;300000;10;827;2191270;190059;388201;2404211;487056;33600000;6720000;1200;150;150;8;8;150;8;112;210000;8;8;2.902056;0.008214;17.678720;0.006182;0.007487;6.898591;ColumnStore
