Timestamp;N;Repetition;Q1TimeInNanoSec_SingleThreaded;Q2TimeInNanoSec_SingleThreaded;Q3TimeInNanoSec_SingleThreaded;Q1TimeInNanoSec_MultiThreaded;Q2TimeInNanoSec_MultiThreaded;Q3TimeInNanoSec_MultiThreaded;CustomerTableInByte;ItemTableInByte;JoinTableInByte;NumRecordsToProcess;Type
1486130173;300000;0;1048;2036279;135240;344335;2517996;327305;28800000;5040000;1208;150;ColumnStore
1486130173;300000;0;986;1833062;350457;770267;2262375;514277;28800000;5040000;1208;150;RowStore
1486130173;300000;1;877;2061965;155789;304673;2211666;282808;28800000;5040000;1208;150;ColumnStore
1486130173;300000;1;906;1726212;351041;292092;1586360;597093;28800000;5040000;1208;150;RowStore
1486130173;300000;2;740;2028731;134962;296875;2278711;527232;28800000;5040000;1208;150;ColumnStore
1486130173;300000;2;642;1330587;342533;699303;1340385;516817;28800000;5040000;1208;150;RowStore
1486130173;300000;3;875;2022479;135669;240135;2388799;344710;28800000;5040000;1208;150;ColumnStore
1486130174;300000;3;1179;1360101;335206;388097;1764117;701204;28800000;5040000;1208;150;RowStore
1486130174;300000;4;838;2051569;173979;240924;2447807;392306;28800000;5040000;1208;150;ColumnStore
1486130174;300000;4;1192;1482702;400067;300263;2144821;715354;28800000;5040000;1208;150;RowStore
1486130174;300000;5;723;2125841;135905;363020;2226912;421378;28800000;5040000;1208;150;ColumnStore
1486130174;300000;5;1201;1282734;391831;524027;1460522;712456;28800000;5040000;1208;150;RowStore
1486130174;300000;6;930;1995382;257701;154434;2540577;533305;28800000;5040000;1208;150;ColumnStore
1486130174;300000;6;811;1397361;358768;395822;1722861;786121;28800000;5040000;1208;150;RowStore
1486130175;300000;7;962;1926126;218324;689022;2490384;546891;28800000;5040000;1208;150;ColumnStore
1486130175;300000;7;764;1329484;383606;310003;1841253;602098;28800000;5040000;1208;150;RowStore
1486130175;300000;8;784;2104689;170334;287888;2369286;593663;28800000;5040000;1208;150;ColumnStore
1486130175;300000;8;1083;1416800;337787;161520;1405139;672430;28800000;5040000;1208;150;RowStore
1486130175;300000;9;639;1959931;134309;303616;2649443;528974;28800000;5040000;1208;150;ColumnStore
1486130175;300000;9;1411;1789669;439795;1628216;1707473;665486;28800000;5040000;1208;150;RowStore
1486130175;300000;10;950;2026450;135420;640542;2538927;363714;28800000;5040000;1208;150;ColumnStore
1486130176;300000;10;1095;1295224;348012;463962;1626921;649288;28800000;5040000;1208;150;RowStore
1486130176;300000;11;729;2099727;152756;193893;2259705;355213;28800000;5040000;1208;150;ColumnStore
1486130176;300000;11;670;1375341;465156;424594;2094120;1091569;28800000;5040000;1208;150;RowStore
1486130176;300000;12;827;2047720;136549;442572;2022308;376840;28800000;5040000;1208;150;ColumnStore
1486130176;300000;12;1198;1385515;362851;485658;2059119;635093;28800000;5040000;1208;150;RowStore
1486130176;300000;13;693;2047962;136175;221961;2191523;375556;28800000;5040000;1208;150;ColumnStore
1486130176;300000;13;1345;1690942;376591;1405699;1919224;836273;28800000;5040000;1208;150;RowStore
1486130177;300000;14;1592;1997322;135743;398589;2213907;357893;28800000;5040000;1208;150;ColumnStore
1486130177;300000;14;1083;1402902;395512;118661;1663198;713521;28800000;5040000;1208;150;RowStore
1486130186;15290000;0;5271;18994668;8724597;1016642;5142028;7931258;1467840000;256872000;1208;150;ColumnStore
1486130194;15290000;0;4654;4359606;21490587;3859103;3235095;16336497;1467840000;256872000;1208;150;RowStore
1486130202;15290000;1;1395;7181084;8526945;179926;5806229;7231970;1467840000;256872000;1208;150;ColumnStore
1486130209;15290000;1;1933;2407990;19644510;2891747;1987091;16961126;1467840000;256872000;1208;150;RowStore
1486130219;15290000;2;1415;7236527;8775249;169879;5000065;7718496;1467840000;256872000;1208;150;ColumnStore
1486130226;15290000;2;1286;2198571;19702405;1009802;1639880;16850837;1467840000;256872000;1208;150;RowStore
1486130234;15290000;3;1366;7251043;8809166;419234;5662219;8148279;1467840000;256872000;1208;150;ColumnStore
1486130241;15290000;3;1368;2120876;19367781;935154;1960684;16503661;1467840000;256872000;1208;150;RowStore
1486130249;15290000;4;1383;7169392;8297836;359078;4790503;8062857;1467840000;256872000;1208;150;ColumnStore
1486130256;15290000;4;1695;2238118;19337462;2639705;1962793;16741168;1467840000;256872000;1208;150;RowStore
1486130263;15290000;5;1339;7207637;8472438;267461;5023146;9737938;1467840000;256872000;1208;150;ColumnStore
1486130270;15290000;5;1674;2123592;19255093;2940593;1807611;16720314;1467840000;256872000;1208;150;RowStore
1486130278;15290000;6;1487;7382189;8435972;755326;5353572;7684494;1467840000;256872000;1208;150;ColumnStore
1486130285;15290000;6;1775;2156077;19245357;3384515;2161899;16434765;1467840000;256872000;1208;150;RowStore
1486130293;15290000;7;1419;7220333;8535802;182461;5284399;8225921;1467840000;256872000;1208;150;ColumnStore
