Timestamp;N;Repetition;Q1TimeInMsec;Q2TimeInMsec;CustomerTableInByte;ItemTableInByte;JoinTableInByte
1485894645;1000;0;1515256;1630082;96000;24000000;799920
1485894645;1000;1;1516228;1342647;96000;24000000;799392
1485894645;1000;2;1430605;1325519;96000;24000000;801512
1485894645;1000;3;1309078;1242852;96000;24000000;799480
1485894645;1000;4;1470647;1317739;96000;24000000;799848
1485894645;1000;5;1619536;1234442;96000;24000000;799848
1485894645;1000;6;1453450;1228421;96000;24000000;798936
1485894645;1000;7;1508723;1363796;96000;24000000;799464
1485894645;1000;8;1593186;1359023;96000;24000000;799480
1485894645;1000;9;2112808;1898587;96000;24000000;799160
1485894645;1000;10;1480240;1228637;96000;24000000;802384
1485894645;1000;11;1540164;1898884;96000;24000000;799360
1485894645;1000;12;1654907;1676004;96000;24000000;798416
1485894645;1000;13;1481720;1301212;96000;24000000;799240
1485894645;1000;14;1431697;1309778;96000;24000000;799224
1485894645;1000;15;1634804;1393869;96000;24000000;798008
1485894645;1000;16;1653736;1236982;96000;24000000;800384
1485894645;1000;17;1738877;1306660;96000;24000000;799792
1485894646;1000;18;1456879;1442206;96000;24000000;798888
1485894646;1000;19;1644975;1665102;96000;24000000;799688
1485894647;34300;0;2415181;3074321;3292800;823200000;800888
1485894649;34300;1;2585346;3243792;3292800;823200000;800424
1485894650;34300;2;4159767;3404728;3292800;823200000;800840
1485894652;34300;3;2827599;2737022;3292800;823200000;800800
1485894653;34300;4;2428637;2848109;3292800;823200000;798912
1485894655;34300;5;2402630;4415247;3292800;823200000;800824
1485894656;34300;6;3196879;3105742;3292800;823200000;799984
1485894657;34300;7;2675486;3333741;3292800;823200000;799456
1485894659;34300;8;3110108;3102452;3292800;823200000;799856
1485894661;34300;9;2356883;3509482;3292800;823200000;799680
1485894662;34300;10;2329016;2535743;3292800;823200000;798888
1485894664;34300;11;2308122;2426617;3292800;823200000;799272
1485894665;34300;12;2464244;3263281;3292800;823200000;800920
1485894667;34300;13;2725427;3099505;3292800;823200000;799608
1485894668;34300;14;2452811;2742428;3292800;823200000;799520
1485894670;34300;15;2982115;3062636;3292800;823200000;800656
1485894671;34300;16;2438373;2416333;3292800;823200000;799368
1485894673;34300;17;2445262;3181564;3292800;823200000;800288
1485894674;34300;18;2557475;2638133;3292800;823200000;800960
1485894676;34300;19;2334856;2477856;3292800;823200000;798480
1485894679;67600;0;3283428;3125966;6489600;1622400000;800072
1485894682;67600;1;2943332;2959751;6489600;1622400000;798984
1485894685;67600;2;3025543;4084809;6489600;1622400000;801792
1485894688;67600;3;2602787;2871244;6489600;1622400000;800256
1485894691;67600;4;2653942;3154277;6489600;1622400000;799984
1485894694;67600;5;3812103;4603856;6489600;1622400000;801488
1485894697;67600;6;4060361;4081856;6489600;1622400000;799016
1485894700;67600;7;3264208;4131666;6489600;1622400000;799584
1485894703;67600;8;3339177;3603830;6489600;1622400000;798704
1485894706;67600;9;2859121;3355519;6489600;1622400000;800896
1485894709;67600;10;3759355;5629536;6489600;1622400000;799480
1485894712;67600;11;3236726;3739497;6489600;1622400000;799464
1485894715;67600;12;6521664;8413627;6489600;1622400000;801520
1485894719;67600;13;4114287;4746873;6489600;1622400000;800312
1485894722;67600;14;2809058;5137801;6489600;1622400000;799728
1485894725;67600;15;3094466;3663861;6489600;1622400000;800888
1485894728;67600;16;3428306;4207320;6489600;1622400000;800496
1485894731;67600;17;3219638;4140081;6489600;1622400000;801032
1485894734;67600;18;3301911;4009139;6489600;1622400000;798992
1485894737;67600;19;2821218;4918309;6489600;1622400000;797992
