Timestamp;N;Repetition;Q1TimeInMsec;Q2TimeInMsec;CustomerTableInByte;ItemTableInByte;JoinTableInByte;Type
1485898470;1000;0;1808712;8327104;96000;24000000;799120;ColumnStore
1485898470;1000;0;2166636;3308125;96000;24000000;800408;RowStore
1485898470;1000;1;1352361;4090733;96000;24000000;799496;ColumnStore
1485898470;1000;1;1878390;3414094;96000;24000000;798728;RowStore
1485898470;1000;2;1422561;3709896;96000;24000000;800184;ColumnStore
1485898470;1000;2;1929038;3208418;96000;24000000;800304;RowStore
1485898470;1000;3;1505134;8457205;96000;24000000;800008;ColumnStore
1485898470;1000;3;1858200;3494146;96000;24000000;799712;RowStore
1485898471;1000;4;1441643;4240617;96000;24000000;800296;ColumnStore
1485898471;1000;4;1788536;8607020;96000;24000000;799000;RowStore
1485898472;34300;0;3682580;6838776;3292800;823200000;799864;ColumnStore
1485898474;34300;0;4152191;17698596;3292800;823200000;799368;RowStore
1485898475;34300;1;2643950;10651229;3292800;823200000;798904;ColumnStore
1485898477;34300;1;3661374;10523654;3292800;823200000;800536;RowStore
1485898478;34300;2;2520623;7631860;3292800;823200000;799472;ColumnStore
1485898480;34300;2;3644316;11289171;3292800;823200000;800256;RowStore
1485898481;34300;3;2800538;12103908;3292800;823200000;800616;ColumnStore
1485898483;34300;3;5542114;16350508;3292800;823200000;799704;RowStore
1485898484;34300;4;2443190;13786303;3292800;823200000;799120;ColumnStore
1485898486;34300;4;5474562;12656932;3292800;823200000;799168;RowStore
1485898489;67600;0;2960268;18598584;6489600;1622400000;801216;ColumnStore
1485898492;67600;0;6497401;13726168;6489600;1622400000;799720;RowStore
1485898495;67600;1;3456854;18070102;6489600;1622400000;800576;ColumnStore
1485898498;67600;1;6688213;14993400;6489600;1622400000;801096;RowStore
1485898501;67600;2;2719222;13777467;6489600;1622400000;800096;ColumnStore
1485898504;67600;2;7248138;16308867;6489600;1622400000;799240;RowStore
1485898507;67600;3;3654414;13972585;6489600;1622400000;799712;ColumnStore
1485898510;67600;3;6064186;13303164;6489600;1622400000;799752;RowStore
1485898512;67600;4;3142061;16212888;6489600;1622400000;800768;ColumnStore
1485898515;67600;4;5789587;18856957;6489600;1622400000;799536;RowStore
1485898520;100900;0;3127008;22832961;9686400;2421600000;799128;ColumnStore
1485898524;100900;0;5909027;19094068;9686400;2421600000;799664;RowStore
1485898529;100900;1;2719022;15716101;9686400;2421600000;799040;ColumnStore
1485898533;100900;1;7034438;16469794;9686400;2421600000;800288;RowStore
1485898538;100900;2;3327180;17069338;9686400;2421600000;799280;ColumnStore
1485898542;100900;2;6232943;16991775;9686400;2421600000;800800;RowStore
1485898547;100900;3;2769791;16116878;9686400;2421600000;799672;ColumnStore
1485898551;100900;3;6093283;14584056;9686400;2421600000;800432;RowStore
1485898555;100900;4;3686682;16304058;9686400;2421600000;801096;ColumnStore
1485898560;100900;4;6164058;18331395;9686400;2421600000;799408;RowStore
1485898565;134200;0;3214089;16796529;12883200;3220800000;799512;ColumnStore
1485898571;134200;0;6133614;18410467;12883200;3220800000;800096;RowStore
1485898577;134200;1;4844676;17462444;12883200;3220800000;800200;ColumnStore
1485898583;134200;1;7066681;16074229;12883200;3220800000;800544;RowStore
1485898589;134200;2;3152946;17125934;12883200;3220800000;800352;ColumnStore
1485898595;134200;2;6494621;19783010;12883200;3220800000;799672;RowStore
1485898601;134200;3;4740026;20380111;12883200;3220800000;798696;ColumnStore
1485898607;134200;3;6157342;16068141;12883200;3220800000;799344;RowStore
1485898613;134200;4;3468316;18484342;12883200;3220800000;799736;ColumnStore
1485898619;134200;4;6942785;17623393;12883200;3220800000;798736;RowStore
1485898626;167500;0;4446401;18941867;16080000;4020000000;800408;ColumnStore
1485898634;167500;0;6929879;20209041;16080000;4020000000;800456;RowStore
1485898641;167500;1;3869950;21829131;16080000;4020000000;801088;ColumnStore
1485898649;167500;1;6285235;15815266;16080000;4020000000;799592;RowStore
1485898656;167500;2;5145271;20153972;16080000;4020000000;799032;ColumnStore
1485898664;167500;2;6359486;16225276;16080000;4020000000;800624;RowStore
1485898671;167500;3;3790945;19647642;16080000;4020000000;800216;ColumnStore
1485898678;167500;3;5699261;18964843;16080000;4020000000;799456;RowStore
1485898686;167500;4;4580806;19466879;16080000;4020000000;799936;ColumnStore
1485898693;167500;4;6795056;17174150;16080000;4020000000;800464;RowStore
1485898702;200800;0;6040317;22357134;19276800;4819200000;800376;ColumnStore
1485898711;200800;0;7137536;20669168;19276800;4819200000;800104;RowStore
1485898720;200800;1;5175180;23584788;19276800;4819200000;799736;ColumnStore
1485898729;200800;1;6400642;21528311;19276800;4819200000;799272;RowStore
1485898738;200800;2;4004320;23565930;19276800;4819200000;800440;ColumnStore
1485898746;200800;2;6432946;18054990;19276800;4819200000;800768;RowStore
1485898755;200800;3;3771358;24001427;19276800;4819200000;798424;ColumnStore
1485898765;200800;3;10738115;46001239;19276800;4819200000;799808;RowStore
1485898780;200800;4;4349727;20445984;19276800;4819200000;800184;ColumnStore
1485898788;200800;4;8089696;19696129;19276800;4819200000;800760;RowStore
1485898798;234100;0;6109759;21486243;22473600;5618400000;799264;ColumnStore
1485898809;234100;0;6637370;17972973;22473600;5618400000;799832;RowStore
1485898819;234100;1;5044047;27574289;22473600;5618400000;798832;ColumnStore
1485898829;234100;1;7313845;17052412;22473600;5618400000;799560;RowStore
1485898839;234100;2;5002439;21704162;22473600;5618400000;799984;ColumnStore
1485898849;234100;2;6389870;16471578;22473600;5618400000;800552;RowStore
1485898859;234100;3;5497466;24713115;22473600;5618400000;799504;ColumnStore
1485898869;234100;3;6846895;18867951;22473600;5618400000;798912;RowStore
1485898880;234100;4;5565743;26812357;22473600;5618400000;799088;ColumnStore
1485898890;234100;4;6348801;16552836;22473600;5618400000;799808;RowStore
1485898902;267400;0;6972691;31646531;25670400;6417600000;799928;ColumnStore
1485898914;267400;0;6882012;19933903;25670400;6417600000;800976;RowStore
1485898926;267400;1;4622370;30497185;25670400;6417600000;801632;ColumnStore
1485898937;267400;1;6373815;19144254;25670400;6417600000;800008;RowStore
1485898949;267400;2;3948980;25996426;25670400;6417600000;801824;ColumnStore
1485898961;267400;2;6956564;18241034;25670400;6417600000;801408;RowStore
1485898973;267400;3;6123119;30506372;25670400;6417600000;799624;ColumnStore
1485898984;267400;3;6501411;18669618;25670400;6417600000;799072;RowStore
1485898996;267400;4;5484845;27047756;25670400;6417600000;800976;ColumnStore
1485899008;267400;4;7100295;17086379;25670400;6417600000;800520;RowStore
1485899021;300700;0;6253143;29466291;28867200;7216800000;799856;ColumnStore
1485899035;300700;0;7640489;22146649;28867200;7216800000;801320;RowStore
1485899048;300700;1;4111620;26260341;28867200;7216800000;799672;ColumnStore
1485899061;300700;1;7166928;22046627;28867200;7216800000;799848;RowStore
1485899074;300700;2;7839919;26627970;28867200;7216800000;799832;ColumnStore
1485899087;300700;2;7682667;18059687;28867200;7216800000;800792;RowStore
1485899100;300700;3;5776883;30936038;28867200;7216800000;799680;ColumnStore
1485899114;300700;3;6251956;18299039;28867200;7216800000;800568;RowStore
1485899127;300700;4;4096986;23060248;28867200;7216800000;800712;ColumnStore
1485899140;300700;4;6547693;17012033;28867200;7216800000;800272;RowStore
1485899155;334000;0;21326190;26732114;32064000;8016000000;801352;ColumnStore
1485899169;334000;0;6943423;17722475;32064000;8016000000;798664;RowStore
1485899183;334000;1;6368124;26306774;32064000;8016000000;800288;ColumnStore
1485899198;334000;1;8018325;20818873;32064000;8016000000;798792;RowStore
1485899213;334000;2;5134076;25576000;32064000;8016000000;799480;ColumnStore
1485899228;334000;2;7436920;17779081;32064000;8016000000;800288;RowStore
1485899242;334000;3;6361764;28760078;32064000;8016000000;801744;ColumnStore
1485899257;334000;3;7135384;20357500;32064000;8016000000;799592;RowStore
1485899272;334000;4;5479283;24801430;32064000;8016000000;799328;ColumnStore
1485899287;334000;4;6817078;18961237;32064000;8016000000;799272;RowStore
1485899304;367300;0;122289104;39666796;35260800;8815200000;799688;ColumnStore
1485899322;367300;0;389871316;19504248;35260800;8815200000;800240;RowStore
1485899339;367300;1;119102594;26513855;35260800;8815200000;799192;ColumnStore
1485899357;367300;1;201225010;34901134;35260800;8815200000;797952;RowStore
1485899374;367300;2;97732821;37791774;35260800;8815200000;801056;ColumnStore
1485899392;367300;2;244501129;29699290;35260800;8815200000;799856;RowStore
1485899409;367300;3;114991023;35809616;35260800;8815200000;800080;ColumnStore
1485899427;367300;3;383215830;26415120;35260800;8815200000;798480;RowStore
1485899444;367300;4;98571376;36033627;35260800;8815200000;801136;ColumnStore
1485899461;367300;4;220525240;34850816;35260800;8815200000;800744;RowStore
1485899481;400600;0;254474686;38805519;38457600;9614400000;800504;ColumnStore
1485899502;400600;0;584216395;24087955;38457600;9614400000;800032;RowStore
1485899521;400600;1;181770506;25960679;38457600;9614400000;800688;ColumnStore
1485899541;400600;1;394944669;30552902;38457600;9614400000;799640;RowStore
1485899560;400600;2;152066541;38943374;38457600;9614400000;798736;ColumnStore
1485899580;400600;2;327843377;35649468;38457600;9614400000;799952;RowStore
1485899599;400600;3;155005190;38149781;38457600;9614400000;800416;ColumnStore
1485899619;400600;3;325323800;34525989;38457600;9614400000;801520;RowStore
1485899639;400600;4;161573914;33779886;38457600;9614400000;797984;ColumnStore
1485899658;400600;4;326467169;33440831;38457600;9614400000;802208;RowStore
1485899679;433900;0;313504173;40666486;41654400;10413600000;799600;ColumnStore
1485899703;433900;0;624088955;22946377;41654400;10413600000;799920;RowStore
1485899724;433900;1;231672942;30489066;41654400;10413600000;799384;ColumnStore
1485899748;433900;1;550873509;20839628;41654400;10413600000;799576;RowStore
1485899769;433900;2;315423811;61898398;41654400;10413600000;799352;ColumnStore
1485899793;433900;2;585048170;26374648;41654400;10413600000;800592;RowStore
1485899814;433900;3;210137345;30799309;41654400;10413600000;798408;ColumnStore
1485899837;433900;3;511518353;19821759;41654400;10413600000;801160;RowStore
1485899858;433900;4;217728930;32177004;41654400;10413600000;798624;ColumnStore
1485899880;433900;4;570390511;25476539;41654400;10413600000;800400;RowStore
1485899903;467200;0;313237742;33353951;44851200;11212800000;799320;ColumnStore
1485899927;467200;0;660476222;32638273;44851200;11212800000;799328;RowStore
1485899950;467200;1;288638591;30998359;44851200;11212800000;800608;ColumnStore
1485899975;467200;1;825586942;29745006;44851200;11212800000;801424;RowStore
1485899997;467200;2;288685022;27561704;44851200;11212800000;800600;ColumnStore
1485900021;467200;2;604955474;25234557;44851200;11212800000;799056;RowStore
1485900044;467200;3;271188999;45905403;44851200;11212800000;798856;ColumnStore
1485900068;467200;3;531953137;22254754;44851200;11212800000;800440;RowStore
1485900092;467200;4;428293528;40946692;44851200;11212800000;800016;ColumnStore
1485900118;467200;4;694722494;39149494;44851200;11212800000;798168;RowStore
1485900144;500500;0;381813807;32601117;48048000;12012000000;798992;ColumnStore
1485900173;500500;0;1806252351;30118356;48048000;12012000000;799736;RowStore
1485900197;500500;1;214089600;39761614;48048000;12012000000;798936;ColumnStore
1485900222;500500;1;497642427;23128364;48048000;12012000000;801496;RowStore
1485900246;500500;2;247090743;29268765;48048000;12012000000;801184;ColumnStore
1485900272;500500;2;511533935;25278160;48048000;12012000000;800336;RowStore
1485900295;500500;3;225634585;42182197;48048000;12012000000;800200;ColumnStore
1485900322;500500;3;728653451;26875507;48048000;12012000000;801112;RowStore
