Timestamp;N;Repetition;Q1TimeInMsec;Q2TimeInMsec;Q3TimeInMsec;CustomerTableInByte;ItemTableInByte;JoinTableInByte;NumRecordsToProcess;Type
1485919013;300000;0;2111663;5873746;358447;28800000;5040000;1208;150;ColumnStore
1485919013;300000;0;276029;2499762;2719469;28800000;5040000;1208;150;RowStore
1485919013;300000;1;228698;2373224;356042;28800000;5040000;1208;150;ColumnStore
1485919013;300000;1;242546;1789735;1342915;28800000;5040000;1208;150;RowStore
1485919013;300000;2;247748;2781663;355790;28800000;5040000;1208;150;ColumnStore
1485919013;300000;2;218564;1500131;1268363;28800000;5040000;1208;150;RowStore
1485919013;300000;3;314280;2630831;359337;28800000;5040000;1208;150;ColumnStore
1485919014;300000;3;266494;1771951;1082813;28800000;5040000;1208;150;RowStore
1485919014;300000;4;250275;2779970;368777;28800000;5040000;1208;150;ColumnStore
1485919014;300000;4;194077;1726479;1132340;28800000;5040000;1208;150;RowStore
1485919014;300000;5;154710;3791894;381930;28800000;5040000;1208;150;ColumnStore
1485919014;300000;5;206530;1446742;1234728;28800000;5040000;1208;150;RowStore
1485919014;300000;6;186996;2649450;691542;28800000;5040000;1208;150;ColumnStore
1485919014;300000;6;205719;1632327;1625505;28800000;5040000;1208;150;RowStore
1485919014;300000;7;184336;2786799;318993;28800000;5040000;1208;150;ColumnStore
1485919014;300000;7;161903;1732819;1392442;28800000;5040000;1208;150;RowStore
1485919014;300000;8;272609;2589495;380026;28800000;5040000;1208;150;ColumnStore
1485919014;300000;8;209022;2848684;1219591;28800000;5040000;1208;150;RowStore
1485919015;300000;9;152594;2512206;401565;28800000;5040000;1208;150;ColumnStore
1485919015;300000;9;208098;1594812;1636517;28800000;5040000;1208;150;RowStore
1485919015;300000;10;198639;2850898;340792;28800000;5040000;1208;150;ColumnStore
1485919015;300000;10;207062;1602439;1001376;28800000;5040000;1208;150;RowStore
1485919015;300000;11;168044;2508978;339269;28800000;5040000;1208;150;ColumnStore
1485919015;300000;11;203075;1706980;1340090;28800000;5040000;1208;150;RowStore
1485919015;300000;12;205138;2801029;386038;28800000;5040000;1208;150;ColumnStore
1485919015;300000;12;255159;1589757;985793;28800000;5040000;1208;150;RowStore
1485919015;300000;13;204181;3487145;340287;28800000;5040000;1208;150;ColumnStore
1485919015;300000;13;241826;1469398;2365037;28800000;5040000;1208;150;RowStore
1485919015;300000;14;184813;2654230;316916;28800000;5040000;1208;150;ColumnStore
1485919016;300000;14;173952;1996093;1869610;28800000;5040000;1208;150;RowStore
1485919016;300000;15;195874;2888982;324528;28800000;5040000;1208;150;ColumnStore
1485919016;300000;15;199714;2074348;1053773;28800000;5040000;1208;150;RowStore
