timestamp;NumberOfCustomers;CurrentRepetition;DurationQ1SingleThreaded;DurationQ2SingleThreaded;DurationQ3SingleThreaded;DurationQ1MultiThreaded;DurationQ2MultiThreaded;DurationQ3MultiThreaded;dataSetSizeCustomersInByte;dataSetSizeItemsInByte;dataSetSizeJoinTableInByte;NumberOfRecordsToProcess;Q1NumRecordsToProcess;Unset1;Q1NumRecordToProcessedDeRefSize;Q2NumRecordsToProcess;Unset2;Q2NumRecordToProcessedDeRefSize;Q3NumRecordsToProcess;Unset3;Q3NumRecordToProcessedDeRefSize;Q1GBpsecSingleThreaded;Q2GBpsecSingleThreaded;Q3GBpsecSingleThreaded;Q1GBpsecMultiThreaded;Q2GBpsecMultiThreaded;Q3GBpsecMultiThreaded;Type;Platform;ProcessVmSize
1486170310;1000000;0;1049;4339660;493939;469552;4390256;1033801;112000000;22400000;1200;150;150;0;8;150;0;112;700000;0;8;1.143947;0.003871;11.337433;0.002556;0.003827;5.416903;ColumnStore;Host;0.124023
1486170310;1000000;0;1175;1954075;1162694;773595;1932044;1775739;112000000;22400000;1200;150;150;0;32;150;0;112;700000;0;32;4.085107;0.008597;19.265602;0.006205;0.008695;12.614466;RowStore;Host;0.124023
1486170311;1000000;0;0;2808693;381422;0;2026128;294215;112000000;22400000;5600000;700000;0;0;0;700000;0;80;700000;0;8;0.000000;19.938099;14.681901;0.000000;27.638927;19.033699;ColumnStore;Device;0.124023
1486170312;1000000;1;1609;4289610;491345;275257;4552643;1161007;112000000;22400000;1200;150;150;0;8;150;0;112;700000;0;8;0.745805;0.003916;11.397286;0.004360;0.003690;4.823399;ColumnStore;Host;0.133789
1486170312;1000000;1;1742;1731912;1340352;562568;1943200;1909119;112000000;22400000;1200;150;150;0;32;150;0;112;700000;0;32;2.755454;0.009700;16.712027;0.008532;0.008646;11.733161;RowStore;Host;0.133789
1486170313;1000000;1;0;2800594;385515;0;2033203;307192;112000000;22400000;5600000;700000;0;0;0;700000;0;80;700000;0;8;0.000000;19.995758;14.526023;0.000000;27.542751;18.229641;ColumnStore;Device;0.133789
1486170313;1000000;2;1892;4254122;649885;176109;3577008;1103540;112000000;22400000;1200;150;150;0;8;150;0;112;700000;0;8;0.634250;0.003949;8.616909;0.006814;0.004697;5.074578;ColumnStore;Host;0.154297
1486170314;1000000;2;1545;1619115;1296124;683193;1692942;1889241;112000000;22400000;1200;150;150;0;32;150;0;112;700000;0;32;3.106796;0.010376;17.282297;0.007026;0.009924;11.856612;RowStore;Host;0.154297
1486170315;1000000;2;0;2943668;510870;0;2180205;293404;112000000;22400000;5600000;700000;0;0;0;700000;0;80;700000;0;8;0.000000;19.023884;10.961692;0.000000;25.685659;19.086309;ColumnStore;Device;0.154297
1486170315;1000000;3;1741;3748310;545667;374770;3678671;980644;112000000;22400000;1200;150;150;0;8;150;0;112;700000;0;8;0.689259;0.004482;10.262669;0.003202;0.004567;5.710533;ColumnStore;Host;0.154297
1486170315;1000000;3;1442;1784259;1429361;278657;1727343;1815439;112000000;22400000;1200;150;150;0;32;150;0;112;700000;0;32;3.328710;0.009416;15.671338;0.017225;0.009726;12.338614;RowStore;Host;0.154297
1486170316;1000000;3;0;2817909;385643;0;2016400;293943;112000000;22400000;5600000;700000;0;0;0;700000;0;80;700000;0;8;0.000000;19.872892;14.521201;0.000000;27.772268;19.051311;ColumnStore;Device;0.154297
1486170317;1000000;4;1473;3946250;498725;255207;4032774;1012324;112000000;22400000;1200;150;150;0;8;150;0;112;700000;0;8;0.814664;0.004257;11.228633;0.004702;0.004166;5.531826;ColumnStore;Host;0.154297
1486170317;1000000;4;1475;1632644;1270131;439808;1983231;1353272;112000000;22400000;1200;150;150;0;32;150;0;112;700000;0;32;3.254237;0.010290;17.635977;0.010914;0.008471;16.552473;RowStore;Host;0.154297
1486170318;1000000;4;0;2802881;385810;0;2027699;297722;112000000;22400000;5600000;700000;0;0;0;700000;0;80;700000;0;8;0.000000;19.979445;14.514915;0.000000;27.617512;18.809492;ColumnStore;Device;0.154297
1486170318;1000000;5;1414;3787328;503741;343860;3954237;1013128;112000000;22400000;1200;150;150;0;8;150;0;112;700000;0;8;0.848656;0.004436;11.116824;0.003490;0.004249;5.527436;ColumnStore;Host;0.154297
1486170319;1000000;5;1503;1538668;1222686;403873;1583115;1810963;112000000;22400000;1200;150;150;0;32;150;0;112;700000;0;32;3.193613;0.010919;18.320320;0.011885;0.010612;12.369109;RowStore;Host;0.154297
1486170319;1000000;5;0;2799278;380039;0;2022144;294559;112000000;22400000;5600000;700000;0;0;0;700000;0;80;700000;0;8;0.000000;20.005159;14.735329;0.000000;27.693380;19.011471;ColumnStore;Device;0.154297
1486170320;1000000;6;1391;3786508;526972;270272;3793727;1086420;112000000;22400000;1200;150;150;0;8;150;0;112;700000;0;8;0.862689;0.004437;10.626750;0.004440;0.004428;5.154544;ColumnStore;Host;0.154297
1486170320;1000000;6;1590;1586691;1315903;359228;1821306;1739959;112000000;22400000;1200;150;150;0;32;150;0;112;700000;0;32;3.018868;0.010588;17.022530;0.013362;0.009224;12.873866;RowStore;Host;0.154297
1486170321;1000000;6;0;2802970;388351;0;2032424;291638;112000000;22400000;5600000;700000;0;0;0;700000;0;80;700000;0;8;0.000000;19.978809;14.419944;0.000000;27.553305;19.201887;ColumnStore;Device;0.154297
1486170322;1000000;7;1334;3865426;487742;323888;3962072;943961;112000000;22400000;1200;150;150;0;8;150;0;112;700000;0;8;0.899550;0.004346;11.481480;0.003705;0.004240;5.932448;ColumnStore;Host;0.154297
1486170322;1000000;7;1485;1513399;1240044;315074;1781144;1635149;112000000;22400000;1200;150;150;0;32;150;0;112;700000;0;32;3.232323;0.011101;18.063875;0.015235;0.009432;13.699057;RowStore;Host;0.154297
1486170323;1000000;7;0;2810173;384354;0;2026517;324417;112000000;22400000;5600000;700000;0;0;0;700000;0;80;700000;0;8;0.000000;19.927599;14.569901;0.000000;27.633621;17.261734;ColumnStore;Device;0.154297
1486170323;1000000;8;1309;3808198;495746;301145;3786007;1034890;112000000;22400000;1200;150;150;0;8;150;0;112;700000;0;8;0.916730;0.004412;11.296107;0.003985;0.004437;5.411203;ColumnStore;Host;0.154297
1486170324;1000000;8;1614;1575696;1278890;323599;1860256;1601986;112000000;22400000;1200;150;150;0;32;150;0;112;700000;0;32;2.973978;0.010662;17.515188;0.014833;0.009031;13.982643;RowStore;Host;0.154297
1486170324;1000000;8;0;2807254;380598;0;2027652;291363;112000000;22400000;5600000;700000;0;0;0;700000;0;80;700000;0;8;0.000000;19.948320;14.713687;0.000000;27.618153;19.220011;ColumnStore;Device;0.154297
1486170325;1000000;9;5342;3814770;489855;236595;3698132;1129670;112000000;22400000;1200;150;150;0;8;150;0;112;700000;0;8;0.224635;0.004404;11.431953;0.005072;0.004543;4.957200;ColumnStore;Host;0.154297
1486170325;1000000;9;1506;1597559;1245046;653476;1671151;1617845;112000000;22400000;1200;150;150;0;32;150;0;112;700000;0;32;3.187251;0.010516;17.991302;0.007345;0.010053;13.845578;RowStore;Host;0.154297
